ID_Detail,ID_Intervention,ID_Materiel,Mode_Saisie,Quantite,Quantite_Cumulee,Quantite_Nette_Calculee,Date,Tache,Designation,Anomalie_Signalee
DET_00015,INT_0013,MAT_CABLE_HTA,🎯 Cumul total à date,43,43,43,2026-04-08,TASK_Cable_HTA,Câble HTA,
DET_00016,INT_0014,MAT_POTEAU_BT,➕ Saisie du jour,31,31,31,2026-04-21,TASK_PBA_BT,Poteau béton armé BT,
DET_00017,INT_0014,MAT_FOUILLE_BT,➕ Saisie du jour,118,118,118,2026-04-21,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00018,INT_0015,MAT_FOUILLE_HTA,➕ Saisie du jour,1,1,1,2026-05-15,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00019,INT_0015,MAT_ARMEMENT,➕ Saisie du jour,1,1,1,2026-05-15,TASK_IACM,Armement IACM,
DET_00020,INT_0016,MAT_POTEAU_BT,🎯 Cumul total à date,45,76,45,2026-05-15,TASK_PBA_BT,Poteau béton armé BT,1.0
DET_00021,INT_0017,MAT_POTEAU_HTA,➕ Saisie du jour,5,5,5,2026-05-31,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00022,INT_0018,MAT_POTEAU_BT,➕ Saisie du jour,129,205,129,2026-05-31,TASK_PBA_BT,Poteau béton armé BT,
DET_00023,INT_0018,MAT_CABLE_BT,➕ Saisie du jour,7506,7506,7506,2026-05-31,TASK_Cable_BT,Câble BT,
DET_00024,INT_0019,MAT_FOUILLE_BT,➕ Saisie du jour,59,177,59,2026-06-02,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00025,INT_0020,MAT_CABLE_BT,🎯 Cumul total à date,105,7611,105,2026-07-20,TASK_Cable_BT,Câble BT,
DET_00026,INT_0020,MAT_FOUILLE_BT,➕ Saisie du jour,28,205,28,2026-07-20,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00027,INT_0021,MAT_CABLE_HTA,➕ Saisie du jour,37,80,37,2026-08-08,TASK_Cable_HTA,Câble HTA,1.0
DET_00028,INT_0021,MAT_DISJONCTEUR,➕ Saisie du jour,1,1,1,2026-08-08,TASK_DMT,Disjoncteur de poteau DMT-CC,
DET_00029,INT_0022,MAT_FOUILLE_HTA,🎯 Cumul total à date,2,3,2,2026-08-30,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00030,INT_0023,MAT_POTEAU_HTA,➕ Saisie du jour,3,3,3,2026-07-20,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00031,INT_0023,MAT_FOUILLE_HTA,➕ Saisie du jour,1,1,1,2026-07-20,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00032,INT_0024,MAT_CABLE_BT,➕ Saisie du jour,1576,1576,1576,2026-07-20,TASK_Cable_BT,Câble BT,
DET_00033,INT_0025,MAT_CABLE_HTA,➕ Saisie du jour,11,11,11,2026-08-08,TASK_Cable_HTA,Câble HTA,
DET_00034,INT_0025,MAT_FOUILLE_HTA,➕ Saisie du jour,18,19,18,2026-08-08,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00035,INT_0026,MAT_POTEAU_BT,🎯 Cumul total à date,104,104,104,2026-08-08,TASK_PBA_BT,Poteau béton armé BT,
DET_00036,INT_0026,MAT_FOUILLE_BT,🎯 Cumul total à date,22,22,22,2026-08-08,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00037,INT_0027,MAT_CABLE_HTA,➕ Saisie du jour,14,25,14,2026-08-10,TASK_Cable_HTA,Câble HTA,
DET_00038,INT_0028,MAT_FOUILLE_BT,➕ Saisie du jour,45,67,45,2026-08-10,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00039,INT_0029,MAT_ARMEMENT,➕ Saisie du jour,1,1,1,2026-08-28,TASK_IACM,Armement IACM,
DET_00040,INT_0029,MAT_FOUILLE_HTA,➕ Saisie du jour,1,20,1,2026-08-28,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00041,INT_0030,MAT_FOUILLE_BT,🎯 Cumul total à date,38,105,38,2026-08-28,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00042,INT_0031,MAT_POTEAU_HTA,➕ Saisie du jour,3,3,3,2026-06-07,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00043,INT_0032,MAT_POTEAU_HTA,➕ Saisie du jour,2,5,2,2026-06-11,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00044,INT_0033,MAT_POTEAU_BT,➕ Saisie du jour,19,19,19,2026-07-11,TASK_PBA_BT,Poteau béton armé BT,
DET_00045,INT_0034,MAT_FOUILLE_HTA,➕ Saisie du jour,2,2,2,2026-08-11,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00046,INT_0035,MAT_FOUILLE_HTA,🎯 Cumul total à date,3,5,3,2026-08-17,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00047,INT_0036,MAT_POTEAU_HTA,➕ Saisie du jour,4,4,4,2026-06-02,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00048,INT_0037,MAT_POTEAU_BT,➕ Saisie du jour,44,44,44,2026-06-05,TASK_PBA_BT,Poteau béton armé BT,
DET_00049,INT_0037,MAT_FOUILLE_BT,➕ Saisie du jour,17,17,17,2026-06-05,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00050,INT_0038,MAT_POTEAU_HTA,➕ Saisie du jour,6,10,6,2026-06-17,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00051,INT_0039,MAT_CABLE_BT,➕ Saisie du jour,1085,1085,1085,2026-06-17,TASK_Cable_BT,Câble BT,
DET_00052,INT_0040,MAT_FOUILLE_BT,➕ Saisie du jour,39,56,39,2026-06-24,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00053,INT_0041,MAT_FOUILLE_BT,➕ Saisie du jour,156,156,156,2026-07-18,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00054,INT_0042,MAT_POTEAU_BT,➕ Saisie du jour,184,184,184,2026-07-25,TASK_PBA_BT,Poteau béton armé BT,
DET_00055,INT_0043,MAT_POTEAU_BT,➕ Saisie du jour,31,215,31,2026-08-07,TASK_PBA_BT,Poteau béton armé BT,
DET_00056,INT_0044,MAT_POTEAU_BT,➕ Saisie du jour,83,83,83,2026-05-11,TASK_PBA_BT,Poteau béton armé BT,
DET_00057,INT_0045,MAT_POTEAU_HTA,➕ Saisie du jour,2,2,2,2026-07-10,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00058,INT_0046,MAT_FOUILLE_BT,➕ Saisie du jour,11,11,11,2026-07-10,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00059,INT_0047,MAT_FOUILLE_BT,➕ Saisie du jour,20,31,20,2026-08-14,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00060,INT_0048,MAT_CABLE_HTA,➕ Saisie du jour,59,59,59,2026-04-09,TASK_Cable_HTA,Câble HTA,
DET_00061,INT_0048,MAT_ARMEMENT,➕ Saisie du jour,1,1,1,2026-04-09,TASK_IACM,Armement IACM,
DET_00062,INT_0048,MAT_FOUILLE_HTA,➕ Saisie du jour,6,6,6,2026-04-09,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00063,INT_0049,MAT_CABLE_BT,➕ Saisie du jour,4322,4322,4322,2026-04-09,TASK_Cable_BT,Câble BT,
DET_00064,INT_0049,MAT_PRISE_TERRE,➕ Saisie du jour,1,1,1,2026-04-09,TASK_Terre,Prise de terre,
DET_00065,INT_0049,MAT_FOUILLE_BT,➕ Saisie du jour,74,74,74,2026-04-09,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00066,INT_0050,MAT_POTEAU_HTA,➕ Saisie du jour,9,9,9,2026-04-19,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00067,INT_0050,MAT_ARMEMENT,➕ Saisie du jour,1,2,1,2026-04-19,TASK_IACM,Armement IACM,
DET_00068,INT_0050,MAT_FOUILLE_HTA,➕ Saisie du jour,5,11,5,2026-04-19,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00069,INT_0051,MAT_POTEAU_BT,🎯 Cumul total à date,205,205,205,2026-04-19,TASK_PBA_BT,Poteau béton armé BT,
DET_00070,INT_0051,MAT_CABLE_BT,🎯 Cumul total à date,3812,8134,3812,2026-04-19,TASK_Cable_BT,Câble BT,
DET_00071,INT_0051,MAT_PRISE_TERRE,➕ Saisie du jour,47,48,47,2026-04-19,TASK_Terre,Prise de terre,
DET_00072,INT_0051,MAT_FOUILLE_BT,➕ Saisie du jour,122,196,122,2026-04-19,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00073,INT_0052,MAT_POTEAU_HTA,➕ Saisie du jour,2,11,2,2026-04-26,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00074,INT_0052,MAT_CABLE_HTA,➕ Saisie du jour,87,146,87,2026-04-26,TASK_Cable_HTA,Câble HTA,
DET_00075,INT_0053,MAT_CABLE_BT,➕ Saisie du jour,65,8199,65,2026-04-26,TASK_Cable_BT,Câble BT,
DET_00076,INT_0053,MAT_LUMINAIRE_EP,➕ Saisie du jour,67,67,67,2026-04-26,TASK_EP,Luminaire éclairage public,
DET_00077,INT_0053,MAT_FOUILLE_BT,➕ Saisie du jour,9,205,9,2026-04-26,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00078,INT_0054,MAT_POTEAU_BT,➕ Saisie du jour,13,13,13,2026-05-08,TASK_PBA_BT,Poteau béton armé BT,
DET_00079,INT_0055,MAT_POTEAU_BT,🎯 Cumul total à date,9,22,9,2026-05-16,TASK_PBA_BT,Poteau béton armé BT,
DET_00080,INT_0055,MAT_CABLE_BT,➕ Saisie du jour,1112,1112,1112,2026-05-16,TASK_Cable_BT,Câble BT,
DET_00081,INT_0056,MAT_POTEAU_BT,➕ Saisie du jour,2,24,2,2026-05-24,TASK_PBA_BT,Poteau béton armé BT,
DET_00082,INT_0056,MAT_FOUILLE_BT,➕ Saisie du jour,27,27,27,2026-05-24,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00083,INT_0057,MAT_POTEAU_BT,➕ Saisie du jour,21,21,21,2026-03-21,TASK_PBA_BT,Poteau béton armé BT,
DET_00084,INT_0058,MAT_POTEAU_HTA,➕ Saisie du jour,2,2,2,2026-05-23,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00085,INT_0059,MAT_POTEAU_BT,🎯 Cumul total à date,48,69,48,2026-08-25,TASK_PBA_BT,Poteau béton armé BT,1.0
DET_00086,INT_0059,MAT_FOUILLE_BT,➕ Saisie du jour,50,50,50,2026-08-25,TASK_Fouille_BT,Fouille BT (tranchée),1.0
DET_00087,INT_0060,MAT_POTEAU_BT,➕ Saisie du jour,31,31,31,2026-04-07,TASK_PBA_BT,Poteau béton armé BT,
DET_00088,INT_0061,MAT_POTEAU_HTA,➕ Saisie du jour,1,1,1,2026-05-07,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00089,INT_0061,MAT_CABLE_HTA,➕ Saisie du jour,60,60,60,2026-05-07,TASK_Cable_HTA,Câble HTA,
DET_00090,INT_0062,MAT_FOUILLE_BT,➕ Saisie du jour,19,19,19,2026-05-07,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00091,INT_0063,MAT_POTEAU_BT,➕ Saisie du jour,12,43,12,2026-06-24,TASK_PBA_BT,Poteau béton armé BT,
DET_00092,INT_0064,MAT_FOUILLE_BT,🎯 Cumul total à date,10,29,10,2026-07-03,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00093,INT_0065,MAT_POTEAU_HTA,➕ Saisie du jour,1,2,1,2026-07-05,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00094,INT_0066,MAT_POTEAU_BT,➕ Saisie du jour,5,48,5,2026-07-05,TASK_PBA_BT,Poteau béton armé BT,
DET_00095,INT_0066,MAT_PRISE_TERRE,➕ Saisie du jour,5,5,5,2026-07-05,TASK_Terre,Prise de terre,
DET_00096,INT_0067,MAT_FOUILLE_HTA,➕ Saisie du jour,1,1,1,2026-07-10,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00097,INT_0068,MAT_CABLE_BT,➕ Saisie du jour,256,256,256,2026-07-10,TASK_Cable_BT,Câble BT,
DET_00098,INT_0068,MAT_FOUILLE_BT,🎯 Cumul total à date,19,48,19,2026-07-10,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00099,INT_0069,MAT_ARMEMENT,➕ Saisie du jour,1,1,1,2026-07-23,TASK_IACM,Armement IACM,
DET_00100,INT_0070,MAT_PRISE_TERRE,➕ Saisie du jour,11,16,11,2026-07-23,TASK_Terre,Prise de terre,
DET_00101,INT_0071,MAT_FOUILLE_HTA,➕ Saisie du jour,1,2,1,2026-07-24,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00102,INT_0072,MAT_CABLE_BT,🎯 Cumul total à date,140,396,140,2026-07-24,TASK_Cable_BT,Câble BT,
DET_00103,INT_0073,MAT_POTEAU_HTA,🎯 Cumul total à date,1,3,1,2026-08-23,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00104,INT_0073,MAT_CABLE_HTA,➕ Saisie du jour,15,75,15,2026-08-23,TASK_Cable_HTA,Câble HTA,
DET_00105,INT_0074,MAT_CABLE_BT,➕ Saisie du jour,893,1289,893,2026-08-23,TASK_Cable_BT,Câble BT,
DET_00106,INT_0075,MAT_POTEAU_BT,➕ Saisie du jour,53,53,53,2026-05-12,TASK_PBA_BT,Poteau béton armé BT,
DET_00107,INT_0076,MAT_POTEAU_BT,➕ Saisie du jour,4,57,4,2026-06-14,TASK_PBA_BT,Poteau béton armé BT,
DET_00108,INT_0077,MAT_FOUILLE_BT,➕ Saisie du jour,57,57,57,2026-08-20,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00109,INT_0078,MAT_POTEAU_BT,➕ Saisie du jour,43,43,43,2026-04-03,TASK_PBA_BT,Poteau béton armé BT,
DET_00110,INT_0079,MAT_FOUILLE_HTA,➕ Saisie du jour,5,5,5,2026-04-14,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00111,INT_0080,MAT_FOUILLE_BT,➕ Saisie du jour,86,86,86,2026-04-25,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00112,INT_0081,MAT_FOUILLE_HTA,➕ Saisie du jour,8,13,8,2026-05-02,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00113,INT_0082,MAT_POTEAU_BT,➕ Saisie du jour,39,82,39,2026-05-06,TASK_PBA_BT,Poteau béton armé BT,
DET_00114,INT_0083,MAT_FOUILLE_HTA,➕ Saisie du jour,1,14,1,2026-08-10,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00115,INT_0084,MAT_POTEAU_BT,➕ Saisie du jour,122,122,122,2026-05-27,TASK_PBA_BT,Poteau béton armé BT,
DET_00116,INT_0084,MAT_FOUILLE_BT,➕ Saisie du jour,24,24,24,2026-05-27,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00117,INT_0085,MAT_POTEAU_HTA,➕ Saisie du jour,5,5,5,2026-06-21,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00118,INT_0086,MAT_POTEAU_BT,➕ Saisie du jour,223,345,223,2026-07-14,TASK_PBA_BT,Poteau béton armé BT,
DET_00119,INT_0087,MAT_FOUILLE_BT,➕ Saisie du jour,203,227,203,2026-07-30,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00120,INT_0088,MAT_POTEAU_HTA,➕ Saisie du jour,12,17,12,2026-08-14,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00121,INT_0089,MAT_CABLE_HTA,🎯 Cumul total à date,99,99,99,2026-05-25,TASK_Cable_HTA,Câble HTA,
DET_00122,INT_0090,MAT_CABLE_BT,➕ Saisie du jour,5720,5720,5720,2026-05-25,TASK_Cable_BT,Câble BT,
DET_00123,INT_0091,MAT_CABLE_HTA,➕ Saisie du jour,460,559,460,2026-06-09,TASK_Cable_HTA,Câble HTA,
DET_00124,INT_0091,MAT_TRANSFO,➕ Saisie du jour,1,1,1,2026-06-09,TASK_TFO,Transformateur HTA/BT,
DET_00125,INT_0092,MAT_CABLE_BT,➕ Saisie du jour,4119,9839,4119,2026-06-09,TASK_Cable_BT,Câble BT,
DET_00126,INT_0093,MAT_POTEAU_HTA,🎯 Cumul total à date,13,13,13,2026-06-14,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00127,INT_0094,MAT_PRISE_TERRE,🎯 Cumul total à date,56,56,56,2026-06-14,TASK_Terre,Prise de terre,
DET_00128,INT_0094,MAT_FOUILLE_BT,➕ Saisie du jour,16,16,16,2026-06-14,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00129,INT_0095,MAT_POTEAU_HTA,🎯 Cumul total à date,3,16,3,2026-06-28,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00130,INT_0096,MAT_FOUILLE_BT,➕ Saisie du jour,129,145,129,2026-06-28,TASK_Fouille_BT,Fouille BT (tranchée),1.0
DET_00131,INT_0097,MAT_DISJONCTEUR,➕ Saisie du jour,1,1,1,2026-07-04,TASK_DMT,Disjoncteur de poteau DMT-CC,
DET_00132,INT_0097,MAT_FOUILLE_HTA,🎯 Cumul total à date,18,18,18,2026-07-04,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00133,INT_0098,MAT_FOUILLE_BT,➕ Saisie du jour,97,242,97,2026-07-04,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00134,INT_0099,MAT_POTEAU_BT,🎯 Cumul total à date,74,74,74,2026-07-10,TASK_PBA_BT,Poteau béton armé BT,
DET_00135,INT_0100,MAT_POTEAU_BT,➕ Saisie du jour,58,132,58,2026-07-20,TASK_PBA_BT,Poteau béton armé BT,
DET_00136,INT_0101,MAT_ARMEMENT,➕ Saisie du jour,2,2,2,2026-08-17,TASK_IACM,Armement IACM,
DET_00137,INT_0102,MAT_POTEAU_BT,➕ Saisie du jour,106,238,106,2026-08-17,TASK_PBA_BT,Poteau béton armé BT,
DET_00138,INT_0103,MAT_POTEAU_BT,➕ Saisie du jour,300,300,300,2026-06-06,TASK_PBA_BT,Poteau béton armé BT,
DET_00139,INT_0104,MAT_FOUILLE_BT,➕ Saisie du jour,406,406,406,2026-06-13,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00140,INT_0105,MAT_POTEAU_HTA,🎯 Cumul total à date,12,12,12,2026-07-19,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00141,INT_0105,MAT_FOUILLE_HTA,➕ Saisie du jour,46,46,46,2026-07-19,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00142,INT_0106,MAT_POTEAU_BT,🎯 Cumul total à date,103,403,103,2026-07-19,TASK_PBA_BT,Poteau béton armé BT,
DET_00143,INT_0107,MAT_POTEAU_HTA,➕ Saisie du jour,14,26,14,2026-08-01,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00144,INT_0108,MAT_POTEAU_BT,➕ Saisie du jour,3,406,3,2026-08-01,TASK_PBA_BT,Poteau béton armé BT,
DET_00145,INT_0109,MAT_POTEAU_HTA,➕ Saisie du jour,21,47,21,2026-08-21,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00146,INT_0109,MAT_FOUILLE_HTA,➕ Saisie du jour,1,47,1,2026-08-21,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00147,INT_0110,MAT_PRISE_TERRE,➕ Saisie du jour,10,10,10,2026-03-29,TASK_Terre,Prise de terre,
DET_00148,INT_0111,MAT_POTEAU_BT,➕ Saisie du jour,50,50,50,2026-03-30,TASK_PBA_BT,Poteau béton armé BT,
DET_00149,INT_0111,MAT_LUMINAIRE_EP,➕ Saisie du jour,9,9,9,2026-03-30,TASK_EP,Luminaire éclairage public,
DET_00150,INT_0111,MAT_FOUILLE_BT,➕ Saisie du jour,24,24,24,2026-03-30,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00151,INT_0112,MAT_LUMINAIRE_EP,➕ Saisie du jour,4,13,4,2026-04-11,TASK_EP,Luminaire éclairage public,
DET_00152,INT_0112,MAT_PRISE_TERRE,➕ Saisie du jour,5,15,5,2026-04-11,TASK_Terre,Prise de terre,
DET_00153,INT_0113,MAT_POTEAU_BT,➕ Saisie du jour,5,55,5,2026-05-19,TASK_PBA_BT,Poteau béton armé BT,
DET_00154,INT_0114,MAT_CABLE_BT,➕ Saisie du jour,2357,2357,2357,2026-07-08,TASK_Cable_BT,Câble BT,
DET_00155,INT_0114,MAT_LUMINAIRE_EP,🎯 Cumul total à date,2,15,2,2026-07-08,TASK_EP,Luminaire éclairage public,1.0
DET_00156,INT_0115,MAT_PRISE_TERRE,➕ Saisie du jour,2,17,2,2026-08-16,TASK_Terre,Prise de terre,1.0
DET_00157,INT_0115,MAT_FOUILLE_BT,➕ Saisie du jour,32,56,32,2026-08-16,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00158,INT_0116,MAT_CABLE_BT,🎯 Cumul total à date,1464,1464,1464,2026-05-02,TASK_Cable_BT,Câble BT,
DET_00159,INT_0117,MAT_CABLE_HTA,➕ Saisie du jour,383,383,383,2026-05-22,TASK_Cable_HTA,Câble HTA,
DET_00160,INT_0118,MAT_POTEAU_BT,➕ Saisie du jour,153,153,153,2026-05-22,TASK_PBA_BT,Poteau béton armé BT,
DET_00161,INT_0118,MAT_CABLE_BT,➕ Saisie du jour,3617,5081,3617,2026-05-22,TASK_Cable_BT,Câble BT,
DET_00162,INT_0118,MAT_FOUILLE_BT,🎯 Cumul total à date,86,86,86,2026-05-22,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00163,INT_0119,MAT_FOUILLE_HTA,➕ Saisie du jour,8,8,8,2026-06-16,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00164,INT_0120,MAT_PRISE_TERRE,➕ Saisie du jour,2,2,2,2026-06-16,TASK_Terre,Prise de terre,
DET_00165,INT_0120,MAT_FOUILLE_BT,➕ Saisie du jour,8,94,8,2026-06-16,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00166,INT_0121,MAT_PRISE_TERRE,➕ Saisie du jour,7,9,7,2026-06-17,TASK_Terre,Prise de terre,
DET_00167,INT_0121,MAT_FOUILLE_BT,➕ Saisie du jour,68,162,68,2026-06-17,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00168,INT_0122,MAT_POTEAU_HTA,➕ Saisie du jour,12,12,12,2026-07-22,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00169,INT_0123,MAT_POTEAU_BT,➕ Saisie du jour,33,33,33,2026-07-03,TASK_PBA_BT,Poteau béton armé BT,
DET_00170,INT_0123,MAT_FOUILLE_BT,➕ Saisie du jour,13,13,13,2026-07-03,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00171,INT_0124,MAT_FOUILLE_BT,➕ Saisie du jour,32,45,32,2026-07-16,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00172,INT_0125,MAT_POTEAU_BT,➕ Saisie du jour,9,42,9,2026-08-01,TASK_PBA_BT,Poteau béton armé BT,
DET_00173,INT_0126,MAT_CABLE_BT,➕ Saisie du jour,1175,1175,1175,2026-04-15,TASK_Cable_BT,Câble BT,
DET_00174,INT_0127,MAT_CABLE_BT,➕ Saisie du jour,1781,2956,1781,2026-05-12,TASK_Cable_BT,Câble BT,
DET_00175,INT_0127,MAT_FOUILLE_BT,➕ Saisie du jour,76,76,76,2026-05-12,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00176,INT_0128,MAT_ARMEMENT,➕ Saisie du jour,2,2,2,2026-05-17,TASK_IACM,Armement IACM,
DET_00177,INT_0128,MAT_FOUILLE_HTA,🎯 Cumul total à date,34,34,34,2026-05-17,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00178,INT_0129,MAT_POTEAU_BT,🎯 Cumul total à date,94,94,94,2026-05-17,TASK_PBA_BT,Poteau béton armé BT,
DET_00179,INT_0129,MAT_CABLE_BT,➕ Saisie du jour,2297,5253,2297,2026-05-17,TASK_Cable_BT,Câble BT,
DET_00180,INT_0130,MAT_FOUILLE_BT,➕ Saisie du jour,143,219,143,2026-05-20,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00181,INT_0131,MAT_POTEAU_HTA,➕ Saisie du jour,34,34,34,2026-06-14,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00182,INT_0132,MAT_POTEAU_BT,➕ Saisie du jour,117,211,117,2026-06-14,TASK_PBA_BT,Poteau béton armé BT,
DET_00183,INT_0133,MAT_POTEAU_HTA,➕ Saisie du jour,3,3,3,2026-04-26,TASK_PBA_HTA,Poteau béton armé HTA,
DET_00184,INT_0134,MAT_FOUILLE_BT,➕ Saisie du jour,13,13,13,2026-04-26,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00185,INT_0135,MAT_FOUILLE_HTA,➕ Saisie du jour,3,3,3,2026-04-29,TASK_Fouille_HTA,Fouille HTA (tranchée),
DET_00186,INT_0136,MAT_FOUILLE_BT,➕ Saisie du jour,21,34,21,2026-05-21,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00187,INT_0137,MAT_POTEAU_BT,➕ Saisie du jour,64,64,64,2026-07-09,TASK_PBA_BT,Poteau béton armé BT,
DET_00188,INT_0137,MAT_FOUILLE_BT,➕ Saisie du jour,3,37,3,2026-07-09,TASK_Fouille_BT,Fouille BT (tranchée),
DET_00189,INT_0138,MAT_POTEAU_HTA,➕ Saisie du jour,10,10,10,2026-05-14,TASK_PBA_HTA,Poteau béton armé HTA,
