Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power_kw,thermal_stress,Type_encoded
299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5.336445417069278,55.49903233752037,0
299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6.758592051471818,70.28935733530676,1
299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4.80129605248128,49.933478945805206,0
299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7.177251160464706,74.64341206883277,0
298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5.666647748912589,58.93313658869112,0
298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5.66505600863477,58.3500768889382,1
298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7.389779903480054,76.85371099619239,1
298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6.076122935381483,62.58406623442934,1
298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5.907115722593864,60.84329194271687,0
298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7.32151309511755,75.41158487971084,2
298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7.422012644105886,76.44673023429071,0
298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6.475325113873137,66.69584867289339,0
298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7.277436550187684,74.95759646693323,0
298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7.033900287681404,72.44917296311854,1
298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6.9682619451724,72.4699242297928,2
298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7.322005277966611,75.41665436305618,1
298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7.656050824822814,78.85732349567508,0
298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4.97936152408675,51.28742369809358,1
298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6.8752079707730696,70.8146420989627,0
298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8.043262591353267,83.6499309500738,2
298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6.5208153754971185,67.1643983676204,1
298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1.3781748092277943,14.057383054123566,0
298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7.951025431043871,81.10045939664785,0
298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6.866327735538923,70.03654290249693,2
298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5.752413228355591,59.249856252062656,0
298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5.330141287811075,54.90045526445413,0
298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6.444286178455671,66.37614763809349,0
298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6.558053720417669,67.54795332030206,0
298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6.385171876690622,65.76727032991347,0
298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5.1312156409857685,52.33839953805478,1
298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7.8501279469860785,80.8563178539567,0
298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7.6730049531766875,79.03195101771996,0
298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6.368469075749037,64.95838457264011,1
298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4.386092695407341,44.73814549315483,0
298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4.914581883569729,49.63727702405437,1
299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6.156244020023534,62.17806460223783,0
299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6.583668172519939,66.49504854245153,0
298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5.046162255877581,50.461622558775815,1
298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6.770195000339076,68.37896950342443,2
298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5.180988940594142,52.32798830000066,0
298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9.700923955019922,97.97933194570143,0
298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4.553466280015095,45.99000942815256,1
298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6.918415341735442,70.56783648570182,0
298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6.36524370729135,64.92548581437207,0
299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5.834984755267443,58.933346028201306,0
298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5.415299392674381,54.69452386601137,0
298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6.743878925877506,68.11317715136258,0
298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7.328487430808517,74.01772305116577,0
298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6.292767164773034,63.55694836420743,0
298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7.539508209350144,76.14903291443619,0
298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5.564367964087217,56.200116437280705,0
298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7.550870302780628,75.50870302780628,2
298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7.212573133866567,72.12573133866567,0
298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6.208038410905718,62.08038410905718,0
299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6.168716142858287,61.68716142858287,0
298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7.088187008735434,70.88187008735434,0
299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5.062906944721215,50.629069447212146,1
299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6.6015752506454,66.01575250645399,2
299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5.141656200571199,51.41656200571199,0
299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6.716599429668834,67.16599429668834,1
298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6.150871896585896,61.50871896585896,1
298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4.7362022526989005,47.36202252698901,0
298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4.771765081537537,47.71765081537537,0
298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4.901062563183781,49.01062563183781,1
299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6.529276731710787,64.63983964393665,0
299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5.4183886254504126,53.64204739195896,0
299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7.38506751449967,73.8506751449967,1
299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5.822156585265284,58.22156585265284,1
298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5.479461186636198,54.794611866361976,1
298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5.235809732399285,51.8345163507531,0
298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7.081275504897537,70.81275504897536,0
298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4.848524662040248,48.97009908660634,0
298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4.315888571575122,43.15888571575122,0
298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6.611272299969481,66.11272299969481,0
298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6.111497268660904,61.11497268660904,1
298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6.59001418968019,65.24114047783372,0
298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5.181543955296278,51.29728515743304,0
298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7.3390222381735555,72.65632015791803,0
298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7.3366241557813145,73.36624155781314,1
298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5.55084864370127,54.95340157264277,2
298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5.613523417140386,55.01252948797585,0
298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4.41079608564007,43.22580163927273,0
298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6.828408712210095,67.60124625088017,2
298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6.1963726301853885,61.34408903883521,1
298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6.520208000917425,63.898038408990836,1
298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5.172318144870236,50.68871781972837,0
298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6.848326409633854,67.11359881441184,0
298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5.584955867943743,54.73256750584875,0
298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5.525747318399087,54.15232372031111,0
298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5.023061077898184,49.225998563402264,1
298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6.252491946954015,61.274421080149416,0
298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6.7078343861653185,65.7367769844202,0
298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6.7219191932289135,65.87480809364342,0
299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6.955171975782443,68.16068536266802,0
298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7.0263185774107395,68.85792205862532,0
298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5.317019902494581,52.10679504444695,0
298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5.2602827391707505,51.02474256995652,0
299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8.419939550518684,80.83141968497956,0
298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6.8805591502596855,66.74142375751926,0
299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6.414943703071143,61.583459549483116,0
298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5.59975276934215,53.75762658568476,0
298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6.339765390870739,60.86174775235888,0
298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5.038580545606918,48.37037323782624,0
298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6.518930419904965,63.23362507307809,1
298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7.427562791127229,72.04735907393403,1
298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7.598151272217154,72.94225221328442,0
298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5.106501778777529,49.533067254141976,1
298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6.795683788735202,66.59770112960506,2
298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7.510930188177988,74.35820886296234,0
298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7.495902903318317,73.4598484525196,2
298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7.409383441638455,72.61195772805694,0
298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5.7121589544875935,55.979157753978484,0
298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5.691393027047366,55.77565166506425,0
298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5.250606633797693,51.45594501121715,1
298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7.440705120394746,72.91891017986818,2
298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6.176203605349341,60.52679533242326,1
298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5.32361724706712,52.70381074596437,0
298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6.093977653629385,60.33037877093077,2
298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6.36188220315201,63.618822031520104,0
298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6.9316100308805195,69.31610030880519,1
298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6.1546627517212285,60.931161242040375,0
298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6.3585206990126695,62.949354920225645,0
298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5.760508065426341,56.45297904117821,1
298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6.800919776491184,66.64901380961368,1
298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5.230751768227006,51.26136732862472,0
298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5.792426646786814,56.765781138510846,0
298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4.119947437770726,40.37548489015316,2
298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7.201577559579003,69.85530232791666,1
298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6.732747215908286,65.98092271590127,2
298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6.2789965169748,61.53416586635311,1
298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7.240009709707917,70.95209515513767,0
298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8.149019072048613,79.8603869060765,0
298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7.7333025881745865,75.78636536411103,0
298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5.896036372502205,57.78115645052167,0
298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6.733312702585931,65.98646448534221,1
298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6.5747251054327185,64.43230603324072,1
298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4.71846272618163,46.71278098919803,0
298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5.503148795244265,53.93085819339385,2
298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6.550032187175503,64.84531865303771,2
298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9.348950386087234,92.55460882226393,0
298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8.157019661339755,80.75449464726385,0
298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5.900958200992828,57.82939036972978,1
298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7.777494324835082,76.99719381586758,0
298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4.190800824084689,41.48892815843833,1
298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5.614727694324262,55.02433140437783,1
298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7.973341210859871,78.936077987513,0
298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6.295437518528586,62.32483143343322,0
298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5.879448763291251,58.20654275658358,0
298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4.455113486006709,44.551134860067094,0
298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7.548953931261937,75.48953931261937,0
298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6.80041712166661,68.6842129288329,0
298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7.707635776194758,77.84712133956724,0
298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4.622413766785877,46.68637904453747,2
298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6.759681136925063,68.27277948294291,1
298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6.329209639554678,63.925017359502036,0
298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5.34177565260487,53.4177565260487,0
298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5.784426057495671,57.844260574956714,0
298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7.629462478997931,77.8205172857788,0
298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6.224008173561467,63.48488337032689,0
298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5.650845537865033,57.63862448622327,0
298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6.994504715805387,70.64449762963416,1
298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7.718086807755701,78.72448543910807,0
298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,6.0364236762156205,61.57152149739926,0
298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,7.5834276746473295,77.35096228140267,2
298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,6.0799033185413025,62.01501384912122,2
298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,3.0007026950518028,30.907237759033602,1
298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,6.527569799702336,66.58121195696376,0
298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,7.422955121901963,76.4564377555903,2
298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,6.540199002169767,66.71002982213192,1
298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,5.8203239895506895,59.94933709237217,0
298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,7.067986567972853,72.09346299332343,0
298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,5.89729300956364,60.1523886975494,0
298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,6.7952649097147235,69.3117020790901,0
298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,6.116178241714754,61.77340024131915,1
298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,5.913629291362306,59.727655842759425,0
298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,5.980000672157146,60.39800678878731,0
298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,7.459397596683604,75.33991572650457,1
298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,5.9478412353599,60.66798060067091,0
298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,9.032571061919716,93.03548193777318,1
298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,6.114555085510398,62.36846187220634,0
298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,6.805527445716448,69.41637994630808,0
298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,5.757523552405431,59.302492589776,0
298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,5.591249525226434,57.03074515730957,0
298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,7.445323261595521,76.68682959443396,2
298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,6.516856968753594,67.12362677816209,0
298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,6.173428531838671,63.58631387793839,1
298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,6.532879091286903,67.28865464025517,0
298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,6.012139165003371,61.92503339953479,0
298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,5.506416051603998,56.16544372636072,0
298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,5.773273403575428,59.46471605682697,0
298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,6.937767552481556,70.76522903531179,1
298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,7.8145232302453955,79.70813694850294,0
298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,4.649148720267927,46.95640207470617,2
298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,6.144955230421635,62.678543350300956,0
298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,5.652102174926468,57.65144218425023,0
298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,4.8601694988095545,50.05974583773847,0
298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,7.673402888246141,78.26870946011056,0
298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,6.84728968405817,69.15762580898729,0
298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,5.818009682962545,59.3436987662179,0
298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.199999999999989,6.328832648436246,64.55409301404964,1
298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.199999999999989,5.186099264643984,52.898212499368576,0
298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.300000000000011,5.72146854071773,58.93112596939268,0
298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.099999999999966,6.35489739548553,64.18446369440363,0
298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.199999999999989,7.098156329422827,72.40119456011276,0
298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.199999999999989,5.525935813958302,56.364545302374616,0
298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.199999999999989,6.639881737068171,67.72679371809527,0
298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.199999999999989,5.9288136558546585,60.47389928971745,1
298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.199999999999989,6.058718512080596,61.79892882322201,0
298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,5.948417194013058,60.07901365953202,1
297.9,308.1,1393,50.3,193,0,0,0,0,0,0,10.200000000000045,7.337493329748808,74.84243196343817,0
298.0,308.2,1611,30.6,195,0,0,0,0,0,0,10.199999999999989,5.162327880231821,52.65574437836452,0
298.0,308.1,1339,51.6,197,0,0,0,0,0,0,10.100000000000023,7.235339208629582,73.07692600715895,1
298.0,308.1,1777,24.3,200,0,0,0,0,0,0,10.100000000000023,4.521914217797541,45.671333599755265,0
298.0,308.2,1348,58.8,202,1,0,0,0,1,0,10.199999999999989,8.30033911819652,84.66345900560441,0
298.0,308.2,1442,44.1,204,0,0,0,0,0,0,10.199999999999989,6.659359611520428,67.9254680375083,0
298.0,308.2,1395,49.1,206,0,0,0,0,0,0,10.199999999999989,7.172727267043536,73.16181812384399,1
297.9,308.1,1627,31.4,209,0,0,0,0,0,0,10.200000000000045,5.349901905602153,54.56899943714221,1
297.9,308.1,1585,33.5,212,0,0,0,0,0,0,10.200000000000045,5.560357197466135,56.715643414154826,0
298.0,308.2,1469,45.5,214,0,0,0,0,0,0,10.199999999999989,6.9994160723205,71.39404393766903,0
298.0,308.3,1362,56.8,216,1,0,0,0,1,0,10.300000000000011,8.10128780766507,83.44326441895032,0
298.0,308.3,1405,56.2,218,1,0,0,0,1,0,10.300000000000011,8.268776584003456,85.16839881523569,0
298.0,308.3,1662,32.7,0,0,0,0,0,0,0,10.300000000000011,5.691246419390198,58.6198381197191,0
298.0,308.2,1466,42.6,2,0,0,0,0,0,0,10.199999999999989,6.539916258830944,66.70714584007555,1
298.0,308.2,1620,35.8,5,0,0,0,0,0,0,10.199999999999989,6.073326917919787,61.94793456278176,0
